Temperature,Humidity,NDVI,Built-up,Population,Latitude,Longitude,Risk
33,31,0.11,73,46673,31.187,82.6816,Low
43,53,0.22,21,36412,30.1286,86.3049,Low
39,23,0.21,20,43902,33.9534,75.1926,Low
45,29,0.12,88,27252,17.6547,90.4754,High
39,22,0.38,84,46363,33.1512,87.727,Medium
45,69,0.54,93,24708,15.2954,82.5153,Medium
31,76,0.65,37,15190,12.5516,88.8507,Low
41,27,0.54,75,29052,16.1215,68.7642,Medium
41,44,0.15,72,47949,17.1097,83.1281,Medium
39,65,0.65,79,15965,16.3663,73.1596,Medium
41,65,0.3,74,30781,11.6882,78.8375,Medium
41,32,0.59,62,39112,34.7292,81.5655,Medium
40,43,0.65,36,4470,26.3185,90.3114,Low
39,57,0.12,52,27132,16.7946,82.8109,Medium
32,44,0.44,20,9179,20.3641,82.4012,Low
30,36,0.23,43,10798,9.1716,78.7107,Low
34,22,0.69,85,49487,8.979,84.6361,Low
33,76,0.32,77,28346,27.9049,68.8814,Low
33,75,0.7,88,27649,11.7613,76.3067,Low
47,72,0.38,50,16795,11.0483,94.575,Low
47,88,0.16,37,40269,17.5312,96.9244,Low
40,50,0.77,64,26277,28.327,84.8338,Medium
43,37,0.18,42,8133,9.6507,92.3322,Low
30,86,0.28,79,10526,9.6168,69.7602,Low
34,57,0.71,25,41978,30.2598,85.9324,Low
47,55,0.61,68,10586,8.5677,84.9164,Medium
28,78,0.56,35,15768,18.4281,84.0459,Low
46,50,0.55,66,42659,14.9657,92.1643,Medium
28,71,0.12,84,6435,14.3623,95.5226,Low
38,73,0.55,56,49455,28.3366,91.9805,Medium
39,36,0.69,46,6148,16.5077,81.9376,Low
28,37,0.5,39,21038,25.7706,87.8207,Low
37,27,0.51,91,15990,23.425,79.3947,Medium
41,37,0.44,41,9187,12.979,84.8364,Low
28,67,0.54,32,20879,28.517,85.9054,Low
40,88,0.56,83,42805,34.8706,82.2009,Medium
47,47,0.78,52,24243,34.3475,81.0838,Medium
43,71,0.35,32,14073,13.3147,70.7677,Low
46,54,0.2,22,30680,11.7169,94.1042,Low
46,75,0.75,67,29311,16.6034,87.1187,Medium
48,83,0.58,58,11150,20.123,94.7504,Medium
35,36,0.6,24,21281,28.0694,90.6319,Low
41,79,0.2,38,2859,24.7788,93.646,Low
37,51,0.3,30,36451,21.9609,78.0773,Low
33,25,0.76,64,2120,12.1627,89.2065,Low
42,67,0.46,38,15190,35.941,93.0764,Low
42,34,0.23,91,9924,16.6964,79.869,High
31,48,0.6,91,21085,13.9403,68.0374,Low
40,90,0.52,22,37677,12.3501,86.2731,Low
29,80,0.59,81,45514,21.9501,85.1933,Low
40,63,0.39,62,2213,35.7671,84.2093,Medium
41,88,0.63,58,20367,14.0975,68.1391,Medium
31,66,0.49,30,6001,29.6637,86.0417,Low
34,31,0.78,70,16643,20.5531,68.6039,Low
34,90,0.19,25,28463,26.4677,73.826,Low
40,36,0.22,81,2169,21.9166,88.1009,Medium
46,29,0.4,70,28994,26.0437,83.4448,Medium
28,30,0.29,30,29226,28.7074,86.6591,Low
38,36,0.41,80,29803,26.6506,88.8142,Medium
43,38,0.65,60,7467,32.7441,89.3139,Medium
30,82,0.39,64,16703,19.1919,71.4672,Low
38,48,0.35,87,46108,30.9155,86.2858,Medium
30,68,0.37,38,26566,30.5427,72.0781,Low
48,41,0.38,22,26252,31.6045,89.277,Low
34,50,0.45,33,21226,28.7274,71.0462,Low
45,50,0.52,79,46985,23.6449,71.7789,Medium
30,58,0.56,55,4893,14.626,96.9396,Low
46,59,0.45,79,13675,14.8225,73.6629,Medium
40,41,0.1,20,20086,27.1317,75.5511,Low
28,36,0.52,47,19092,21.7826,84.8186,Low
43,62,0.56,45,14237,16.2205,76.1057,Low
34,20,0.26,25,12874,20.4396,79.2743,Low
32,61,0.32,20,39395,21.3708,74.9867,Low
37,56,0.38,36,12006,34.383,91.9325,Low
48,69,0.25,24,30551,10.6859,79.0371,Low
42,73,0.52,55,15684,32.8445,73.6989,Medium
35,23,0.37,82,39818,30.1744,73.7225,Low
31,78,0.69,46,15082,29.663,92.2661,Low
37,43,0.29,83,32827,19.2168,94.1896,Medium
45,63,0.56,87,14673,33.6147,80.5116,Medium
31,76,0.23,65,38139,18.3759,71.2947,Low
32,80,0.33,27,46780,33.9598,95.6425,Low
47,67,0.13,56,8990,29.9371,84.5732,Medium
43,61,0.73,43,29836,16.5038,75.219,Low
48,46,0.56,49,20005,12.5765,87.7136,Low
42,26,0.54,42,33433,20.775,95.6505,Low
30,27,0.45,25,38280,29.2912,89.5956,Low
33,45,0.76,60,30415,24.4993,87.1846,Low
45,86,0.14,47,12325,10.9308,79.4203,Low
35,21,0.36,94,34152,9.203,89.7954,Low
30,52,0.34,85,23198,36.9461,88.6775,Low
36,52,0.4,22,26957,11.1338,88.9897,Low
33,74,0.34,59,13137,35.129,96.8743,Low
47,22,0.39,58,39126,26.3107,92.8764,Medium
37,21,0.45,88,6095,15.1546,70.847,Medium
48,87,0.31,24,49422,32.2902,82.3869,Low
44,51,0.19,81,34432,17.5579,96.6445,High
47,68,0.51,86,47906,19.3853,72.9816,Medium
44,35,0.17,57,17472,20.0652,91.289,Medium
48,60,0.14,38,28506,10.4228,77.3074,Low
47,77,0.59,29,29317,9.9174,83.8019,Low
28,66,0.38,49,35396,29.905,79.7981,Low
47,53,0.51,78,36442,9.2043,71.7628,Medium
33,70,0.78,35,3523,29.1726,68.9951,Low
45,54,0.31,69,9183,19.044,86.8433,Medium
38,30,0.13,80,40905,35.4706,89.113,Medium
38,75,0.49,39,9843,19.561,89.0351,Low
40,23,0.15,91,9734,14.4671,91.4736,Medium
32,49,0.23,89,35746,35.8219,94.857,Low
44,70,0.54,90,7599,18.9276,85.904,Medium
45,55,0.68,32,21144,15.6722,83.2466,Low
31,50,0.23,39,23650,31.077,95.4942,Low
31,40,0.11,69,24742,25.4626,80.016,Low
37,58,0.68,89,16817,28.6405,75.3639,Medium
44,47,0.37,37,30060,34.2791,84.6251,Low
42,73,0.66,93,11642,9.6497,79.2114,Medium
33,28,0.13,41,23861,21.3525,84.5573,Low
34,76,0.7,40,8590,19.9362,69.6757,Low
47,82,0.13,23,4798,22.4257,92.507,Low
36,37,0.22,44,47454,31.6593,89.6718,Low
32,84,0.16,94,32153,27.6251,83.3955,Low
36,21,0.66,58,26121,10.7848,74.3713,Medium
48,88,0.36,58,11034,9.2492,87.2012,Medium
39,82,0.26,53,12018,9.1924,71.4879,Medium
48,52,0.76,78,24471,15.466,79.5483,Medium
34,48,0.45,27,6418,19.5319,77.5686,Low
38,49,0.47,58,42636,14.8365,79.7434,Medium
41,58,0.39,70,22310,31.2009,73.3093,Medium
38,38,0.31,26,4401,31.9892,70.8822,Low
37,54,0.42,54,37362,22.1865,79.8256,Medium
41,34,0.37,72,7996,8.8422,96.7524,Medium
39,65,0.27,41,9671,34.5866,87.5389,Low
31,50,0.6,55,26119,13.7723,87.7365,Low
37,37,0.26,51,14948,30.9608,85.1637,Medium
45,75,0.64,27,14302,20.7525,92.0025,Low
33,20,0.35,61,10850,10.5258,77.6892,Low
34,24,0.31,90,41901,24.0249,72.2121,Low
44,72,0.12,78,13293,14.9894,80.385,High
31,84,0.37,22,25345,24.0244,77.1644,Low
43,45,0.29,92,9020,19.2785,72.8761,High
37,81,0.38,89,44352,15.0769,93.4394,Medium
39,40,0.12,67,46633,27.9856,87.6442,Medium
28,54,0.63,51,21458,32.6968,77.6638,Low
45,78,0.34,50,47996,13.3811,68.9638,Low
47,55,0.23,32,21694,11.3056,87.5234,Low
38,35,0.45,31,10871,27.0961,90.0816,Low
34,29,0.13,29,25162,33.1059,68.6068,Low
31,26,0.48,58,44706,20.153,69.2871,Low
34,60,0.14,23,49125,24.763,78.1656,Low
32,50,0.64,55,42028,30.5758,93.5489,Low
34,28,0.33,50,31314,18.6449,86.8183,Low
41,74,0.45,71,37376,19.5706,87.1363,Medium
47,38,0.31,93,49410,19.1788,76.6506,Medium
28,46,0.74,33,23547,32.4843,70.9425,Low
40,85,0.63,35,29546,18.463,91.2368,Low
44,45,0.23,72,26614,9.1542,82.4288,High
36,22,0.52,77,27032,8.3996,88.2168,Medium
31,47,0.15,90,10805,33.1483,73.6712,Low
35,47,0.52,43,6592,16.2132,77.2775,Low
32,33,0.65,87,21816,20.6429,92.2565,Low
48,86,0.67,20,32163,31.5561,80.4809,Low
40,77,0.79,46,43924,33.8891,94.75,Low
46,28,0.38,54,3627,15.0634,89.0447,Medium
29,72,0.19,83,8590,29.7493,82.2649,Low
39,26,0.24,41,49976,13.6424,89.271,Low
39,28,0.77,26,48051,8.592,94.4488,Low
45,47,0.48,61,32494,30.5422,68.7764,Medium
35,25,0.64,36,36977,30.2945,88.7829,Low
30,24,0.17,63,30147,31.5221,73.1853,Low
30,20,0.12,48,37446,25.8601,94.3336,Low
38,83,0.45,63,27354,13.2957,79.3677,Medium
42,68,0.2,35,34481,30.0766,89.3738,Low
34,55,0.72,37,49211,11.0992,91.2071,Low
37,71,0.22,94,25740,32.4397,71.7701,Medium
46,76,0.17,37,3764,15.055,84.911,Low
32,42,0.31,84,6435,9.9149,96.4519,Low
38,85,0.63,55,8961,20.5241,86.9208,Medium
33,29,0.55,21,22280,20.4483,90.7823,Low
34,65,0.45,55,24378,33.5564,73.9242,Low
31,77,0.69,86,18444,15.1274,84.0949,Low
38,84,0.71,33,9101,13.6995,69.6125,Low
28,89,0.58,58,19233,29.4512,81.674,Low
40,68,0.42,63,10431,21.2961,80.1562,Medium
41,67,0.52,48,15947,13.3653,74.2775,Low
45,50,0.19,47,19166,9.4598,76.4365,Low
46,84,0.42,64,36819,23.3369,78.7363,Medium
46,42,0.23,63,19198,36.5151,75.5096,Medium
35,52,0.66,90,9288,20.2671,86.5245,Low
41,73,0.32,49,3073,15.1789,81.8622,Low
34,72,0.28,23,8239,23.4937,88.5898,Low
48,25,0.19,27,19664,18.7062,70.4404,Low
36,29,0.41,90,20867,23.1088,76.5542,Medium
29,78,0.7,31,43518,9.4197,69.1767,Low
37,43,0.4,73,8060,36.1673,77.5135,Medium
42,78,0.44,86,7369,27.2631,94.1337,Medium
42,35,0.62,53,11326,23.7742,91.5848,Medium
48,87,0.36,90,42272,29.5798,72.4795,Medium
40,56,0.67,23,42788,16.5219,84.7653,Low
46,52,0.77,68,27571,8.8238,83.3492,Medium
43,22,0.2,85,48560,8.7504,91.8665,High
33,75,0.43,80,29669,30.3287,70.2908,Low
33,34,0.63,31,23688,34.8639,80.1082,Low
29,61,0.48,95,43661,21.1565,89.4341,Low
33,61,0.2,45,13987,22.0893,95.6639,Low
31,26,0.52,72,29803,19.6101,91.9697,Low
29,76,0.19,67,20422,17.7839,72.2274,Low
36,54,0.49,54,5450,29.3239,95.2428,Medium
32,75,0.3,49,40349,23.0972,78.9828,Low
36,78,0.32,73,30062,36.9539,88.7617,Medium
33,54,0.2,93,3251,36.7149,76.5711,Low
29,81,0.21,64,34251,13.2925,69.5509,Low
46,65,0.25,89,23709,12.4958,78.1297,High
42,42,0.77,58,41029,35.2671,96.8414,Medium
42,43,0.23,79,13519,36.9857,90.4334,High
28,46,0.15,28,3940,33.5175,71.7984,Low
29,79,0.34,25,24395,16.2897,96.8846,Low
48,75,0.18,77,21494,24.046,75.8782,High
28,42,0.34,35,28862,34.1787,79.5437,Low
37,48,0.48,37,7454,26.8385,77.741,Low
28,89,0.7,27,41830,32.827,91.119,Low
44,85,0.38,57,25672,28.0021,80.0239,Medium
45,67,0.24,58,3795,32.7715,77.1532,Medium
28,45,0.28,25,21139,18.0691,92.183,Low
46,47,0.14,48,3448,14.0917,74.7572,Low
29,41,0.4,45,12236,16.3716,89.9256,Low
32,22,0.22,32,10933,36.5528,75.8117,Low
46,24,0.54,72,40267,8.5792,96.2648,Medium
43,88,0.42,59,39826,8.3332,87.7247,Medium
41,44,0.29,40,44092,20.3831,81.6814,Low
36,24,0.28,38,45512,27.9865,81.9764,Low
40,50,0.55,20,13089,20.177,87.6678,Low
44,67,0.63,89,3480,30.9422,92.9445,Medium
41,56,0.73,68,35865,29.5865,69.9996,Medium
29,46,0.75,32,31521,8.1127,82.8092,Low
33,79,0.75,70,34356,15.9087,90.7201,Low
47,37,0.27,85,41912,33.2238,86.3771,High
42,32,0.2,35,25449,18.9226,72.9707,Low
34,35,0.51,90,5197,21.4641,93.6885,Low
44,75,0.59,33,21845,33.9889,68.1348,Low
30,81,0.24,92,11073,9.9461,80.6847,Low
37,57,0.79,92,45376,25.2749,87.7676,Medium
40,20,0.12,39,47304,24.4953,93.8004,Low
43,75,0.68,93,24749,34.8074,72.4162,Medium
41,35,0.77,40,38914,24.0858,87.2199,Low
31,21,0.55,81,9735,19.7842,79.7476,Low
35,55,0.53,82,35892,24.767,96.2588,Low
36,22,0.39,69,44441,20.5693,96.9204,Medium
42,59,0.23,64,41144,24.2214,81.8348,Medium
44,81,0.73,89,26614,26.9723,94.3593,Medium
38,20,0.77,63,22274,19.4334,94.3756,Medium
36,77,0.79,29,29529,24.9253,77.7318,Low
33,73,0.32,89,38795,27.5431,87.8555,Low
47,38,0.72,69,45385,16.1516,86.2851,Medium
40,48,0.5,52,26669,34.8112,96.7096,Medium
30,39,0.75,83,2760,32.0245,79.9876,Low
32,88,0.12,31,2174,27.8811,86.2335,Low
40,76,0.59,40,14015,22.4343,94.997,Low
34,56,0.34,69,35702,33.3014,87.3314,Low
33,81,0.71,52,21991,21.0963,84.7301,Low
31,69,0.8,63,20727,19.2455,75.82,Low
41,37,0.65,32,40206,15.2336,75.2801,Low
48,50,0.23,59,49611,10.8145,72.6538,Medium
31,90,0.69,89,30385,15.5436,74.5483,Low
36,29,0.34,55,22224,25.1325,72.5644,Medium
37,77,0.37,30,6768,33.7795,86.9515,Low
41,40,0.27,69,15104,8.4022,77.6766,Medium
45,68,0.46,34,12249,17.1415,96.5209,Low
42,55,0.27,62,36380,26.7878,89.8985,Medium
32,77,0.48,68,41751,11.5269,88.7705,Low
29,63,0.16,60,5468,22.9346,78.0335,Low
45,28,0.42,39,46765,8.0329,77.9495,Low
45,79,0.79,33,30643,27.9521,87.0654,Low
33,26,0.24,49,2413,16.2221,89.1018,Low
42,20,0.5,44,14218,18.1475,75.0675,Low
43,71,0.37,72,31383,32.596,90.0403,Medium
28,24,0.18,91,14127,17.9594,93.8311,Low
41,41,0.75,76,22901,27.2631,91.2527,Medium
38,53,0.7,63,37984,20.7508,87.5908,Medium
39,60,0.7,36,36022,16.7584,76.9931,Low
41,54,0.16,53,9437,27.6036,92.4924,Medium
42,21,0.59,22,5460,20.8918,81.4404,Low
34,53,0.31,80,26654,17.8021,82.2983,Low
45,74,0.29,39,12821,19.5529,72.8954,Low
38,45,0.7,38,12848,17.7958,86.2545,Low
43,85,0.77,51,31922,12.3651,72.8932,Medium
46,82,0.38,55,14977,13.991,79.269,Medium
42,86,0.29,75,9412,35.1654,90.2347,High
31,24,0.33,36,24742,12.5227,93.263,Low
38,61,0.68,29,45605,25.4724,68.9094,Low
41,26,0.19,27,35415,31.8534,89.1068,Low
32,48,0.13,93,46807,21.4553,75.6941,Low
42,67,0.45,50,30067,32.0513,95.5412,Low
38,90,0.28,41,25856,31.9932,70.2316,Low
40,24,0.23,91,47785,33.1604,89.2118,Medium
40,51,0.65,29,15075,10.6934,96.1823,Low
32,36,0.6,64,13040,14.6559,85.8989,Low
42,38,0.65,44,38788,32.369,76.0283,Low
43,62,0.7,33,10793,35.3244,87.6079,Low
36,69,0.43,76,8629,30.022,70.3993,Medium
35,82,0.14,31,23162,32.8352,90.5903,Low
39,24,0.73,66,5686,12.7113,92.4774,Medium
31,20,0.15,77,41666,32.9879,77.891,Low
32,48,0.67,88,13828,15.7295,95.3968,Low
43,46,0.19,78,41724,32.7309,75.2697,High
43,71,0.27,49,44107,14.6358,95.3916,Low
38,51,0.61,70,34850,17.428,96.0331,Medium
31,82,0.12,43,27432,22.2021,68.6246,Low
35,53,0.59,77,39008,34.6624,84.4552,Low
41,22,0.28,57,24089,33.4619,74.2274,Medium
34,84,0.31,39,25779,21.4791,88.1769,Low
32,37,0.36,43,48168,16.7013,78.2095,Low
33,61,0.42,32,28681,33.095,91.6621,Low
31,41,0.29,91,22597,25.6081,92.7512,Low
28,45,0.16,92,29206,27.3056,75.6258,Low
38,58,0.58,35,4361,12.3526,84.0762,Low
47,49,0.74,37,8455,22.4733,77.6411,Low
40,34,0.32,62,26625,12.2156,84.4642,Medium
37,53,0.25,73,10072,33.8171,96.5225,Medium
33,22,0.47,47,34040,19.6359,89.5372,Low
33,23,0.72,59,33902,30.027,73.3104,Low
31,38,0.25,29,47841,33.0332,95.5382,Low
43,75,0.25,81,12447,14.4918,82.4981,High
34,68,0.73,65,16472,14.2997,82.1396,Low
29,22,0.47,66,19820,17.9468,84.6205,Low
29,68,0.51,57,17290,19.5749,80.8549,Low
43,78,0.28,34,40572,17.4298,80.4495,Low
44,27,0.5,38,31691,13.5203,95.0443,Low
32,75,0.51,29,38440,36.1397,79.4323,Low
45,51,0.14,43,38867,8.8879,78.7945,Low
46,78,0.37,70,4147,35.91,73.5743,Medium
38,52,0.79,75,14824,15.7981,81.2713,Medium
48,43,0.73,24,3936,27.9067,68.1876,Low
43,36,0.15,86,41736,26.3959,88.9566,High
32,57,0.18,74,6142,28.8895,81.1213,Low
35,53,0.36,44,9053,36.1233,88.0606,Low
33,32,0.22,53,9149,36.6247,78.8439,Low
36,83,0.12,45,47061,16.4552,80.6319,Low
38,67,0.5,57,20654,30.4914,91.2138,Medium
43,72,0.5,25,36385,17.2049,74.2545,Low
36,27,0.37,85,43446,19.9817,82.9422,Medium
37,85,0.52,55,14755,8.4645,72.4159,Medium
28,61,0.52,59,28694,16.6253,89.5998,Low
48,76,0.6,61,11635,23.3753,76.5668,Medium
47,78,0.62,30,41508,17.2174,91.0863,Low
34,34,0.68,42,26326,34.0923,89.8286,Low
31,55,0.65,32,18159,20.4036,74.1947,Low
43,26,0.21,73,34667,30.3289,84.0903,High
38,47,0.21,95,31220,11.9407,77.439,Medium
31,30,0.63,90,15975,24.3347,76.1593,Low
46,62,0.39,76,4784,33.3313,87.3092,Medium
32,81,0.39,56,9945,29.2803,80.9156,Low
38,36,0.66,30,27938,25.5001,88.8478,Low
28,70,0.68,92,41791,14.8981,92.9771,Low
40,74,0.76,58,14821,32.8093,93.0313,Medium
47,48,0.13,30,20731,21.3071,72.6557,Low
42,71,0.52,39,14204,14.7305,80.0378,Low
30,85,0.28,57,10293,19.0634,88.3394,Low
37,20,0.16,28,39668,10.621,75.0272,Low
33,57,0.38,50,49789,12.1025,91.1257,Low
31,28,0.65,56,37583,24.5085,73.6434,Low
41,37,0.13,89,4119,27.265,78.9832,Medium
44,39,0.67,62,20833,18.3696,75.8776,Medium
48,42,0.58,64,37837,33.0793,71.2364,Medium
45,31,0.25,84,21310,27.8889,68.1196,High
35,60,0.58,32,34737,32.5005,68.101,Low
28,27,0.2,52,44406,20.6902,84.7527,Low
33,49,0.65,62,22011,24.8494,79.7254,Low
46,86,0.78,64,19099,21.2744,87.2084,Medium
29,53,0.37,64,26347,35.8363,78.0264,Low
30,39,0.34,60,2038,12.0415,82.6666,Low
46,39,0.28,49,41231,9.6732,86.7722,Low
33,65,0.58,50,13218,27.3675,74.6267,Low
36,80,0.5,33,45295,25.0251,94.6103,Low
43,32,0.27,87,13713,10.7116,69.6137,High
34,31,0.74,73,40761,28.5733,95.5513,Low
30,79,0.62,40,24714,26.409,72.7748,Low
33,26,0.75,66,35659,19.0946,75.2633,Low
33,46,0.39,40,7732,19.1795,94.6734,Low
33,50,0.43,64,32329,13.3273,94.5453,Low
30,51,0.76,34,17842,21.3462,91.318,Low
33,85,0.22,83,36007,8.8922,89.6559,Low
34,50,0.63,33,11675,16.3424,73.5005,Low
35,75,0.74,89,11517,21.4829,88.8424,Low
29,20,0.55,73,16246,19.3011,91.3235,Low
48,49,0.15,88,5997,29.9335,91.2787,High
32,20,0.52,49,24960,9.9777,90.3281,Low
31,82,0.11,63,26115,27.7891,77.3585,Low
39,24,0.51,64,36762,24.7593,73.0364,Medium
48,89,0.43,95,33423,32.017,86.4996,Medium
31,72,0.46,87,9926,15.9306,78.9861,Low
43,48,0.16,56,15874,29.6827,87.4206,Medium
31,54,0.45,36,12453,32.0808,71.3955,Low
46,28,0.6,85,38071,29.849,73.0573,Medium
47,37,0.59,82,35883,34.5419,76.0764,Medium
36,47,0.76,66,7298,25.4748,72.3176,Medium
47,45,0.11,64,20410,28.0488,83.6506,Medium
33,67,0.11,82,14354,36.1659,75.3773,Low
48,76,0.43,31,25585,34.988,70.1656,Low
33,34,0.22,21,19995,33.059,76.8327,Low
35,42,0.23,32,7019,10.786,88.0158,Low
39,51,0.78,73,17186,24.5574,88.7979,Medium
46,29,0.58,60,4213,12.2986,74.3468,Medium
46,64,0.56,79,28484,12.1018,71.9108,Medium
32,56,0.3,94,10012,36.5776,89.8328,Low
42,34,0.76,58,9114,10.9328,73.9036,Medium
37,33,0.6,85,29329,20.049,92.9415,Medium
46,71,0.58,71,18694,14.8982,86.1572,Medium
41,47,0.58,27,30989,8.4128,81.2257,Low
42,35,0.51,23,36244,36.1627,87.3485,Low
32,62,0.31,31,39721,35.3886,77.4765,Low
37,84,0.54,88,41386,22.8809,78.9383,Medium
35,81,0.56,58,11681,32.8415,94.5761,Low
35,25,0.5,31,10561,29.0482,75.055,Low
30,58,0.6,37,26793,26.9984,72.7632,Low
28,58,0.7,60,15546,23.5839,81.0959,Low
35,74,0.75,48,34798,22.2322,96.8752,Low
48,56,0.74,34,22277,19.5352,73.3212,Low
36,61,0.29,83,32628,10.4939,95.3031,Medium
36,72,0.24,82,47726,15.6768,89.1313,Medium
29,82,0.1,77,31859,31.693,80.7005,Low
46,54,0.49,69,38653,10.7596,70.9585,Medium
45,29,0.64,21,40303,19.9685,94.1253,Low
44,22,0.4,90,30258,9.5519,82.3975,Medium
40,71,0.65,87,27611,24.0283,78.8941,Medium
38,39,0.29,39,4522,15.0393,94.509,Low
31,88,0.51,95,39092,17.1775,94.338,Low
30,86,0.51,59,21690,35.411,86.8331,Low
43,60,0.25,30,20751,17.2449,72.5672,Low
46,69,0.26,47,7153,36.1734,92.7752,Low
30,49,0.53,75,9199,34.0943,92.1173,Low
35,70,0.65,86,14892,31.536,87.637,Low
28,29,0.63,33,5460,13.4665,79.6558,Low
38,39,0.57,42,14245,33.1286,82.2214,Low
37,37,0.45,38,7158,33.7781,73.0785,Low
43,52,0.37,63,12829,31.6416,92.1007,Medium
38,28,0.36,68,33515,12.0554,85.2888,Medium
48,30,0.75,43,37948,18.0246,96.8038,Low
29,42,0.65,20,35049,22.4997,94.2019,Low
34,72,0.36,23,7939,30.9257,70.8977,Low
35,23,0.2,73,47618,11.6413,69.2414,Low
38,70,0.33,75,6086,10.55,75.9997,Medium
32,46,0.63,71,12947,30.7543,79.9554,Low
29,68,0.18,74,30696,25.6702,80.6552,Low
41,63,0.65,44,42122,25.0099,92.4405,Low
41,76,0.77,63,41102,35.0528,87.9097,Medium
33,20,0.77,29,18580,9.4102,83.7623,Low
44,46,0.57,27,16969,25.292,87.3337,Low
37,35,0.4,58,15268,12.2453,88.6289,Medium
44,46,0.19,55,29189,10.474,83.136,Medium
